VentaID,FechaID,Fecha,ClienteID,ProductoID,SucursalID,Cantidad,PrecioUnitario,PorcentajeDescuento,MontoDescuento,PrecioConDescuento,MontoNeto,CostoTotal,UtilidadBruta,MargenBruto,IVA,MontoConIVA,Canal,MetodoPago,Estatus
VEN000025,20240913,2024-09-13,CLI0526,PROD0128,SUC007,1,638.65,0.05,31.93,606.72,606.72,405.42,201.3,0.3318,97.08,703.8,App Móvil,Transferencia,Completada
VEN000026,20250222,2025-02-22,CLI0939,PROD0058,SUC007,2,462.07,0.0,0.0,462.07,924.14,266.7,657.44,0.7114,147.86,1072.0,Presencial,Tarjeta Crédito,Completada
VEN000027,20250517,2025-05-17,CLI0332,PROD0064,SUC016,2,743.82,0.0,0.0,743.82,1487.64,457.0,1030.64,0.6928,238.02,1725.66,App Móvil,Tarjeta Crédito,Completada
VEN000028,20251101,2025-11-01,CLI0367,PROD0083,SUC011,1,328.08,0.0,0.0,328.08,328.08,157.38,170.7,0.5203,52.49,380.57,App Móvil,Tarjeta Crédito,Completada
VEN000029,20240703,2024-07-03,CLI0972,PROD0058,SUC012,4,462.07,0.0,0.0,462.07,1848.28,533.4,1314.88,0.7114,295.72,2144.0,Web,Tarjeta Crédito,Completada
VEN000030,20240115,2024-01-15,CLI0736,PROD0174,SUC001,3,2063.87,0.05,309.58,1960.68,5882.04,4181.82,1700.22,0.2891,941.13,6823.17,App Móvil,Tarjeta Crédito,Completada
VEN000031,20240509,2024-05-09,CLI0774,PROD0156,SUC020,5,2425.74,0.0,0.0,2425.74,12128.7,4121.35,8007.35,0.6602,1940.59,14069.29,Presencial,OXXO Pay,Completada
VEN000032,20251128,2025-11-28,CLI0299,PROD0067,SUC017,4,539.03,0.0,0.0,539.03,2156.12,585.8,1570.32,0.7283,344.98,2501.1,Presencial,Tarjeta Crédito,Completada
VEN000033,20251118,2025-11-18,CLI0533,PROD0001,SUC010,1,851.16,0.0,0.0,851.16,851.16,276.88,574.28,0.6747,136.19,987.35,App Móvil,Tarjeta Crédito,Completada
VEN000034,20250406,2025-04-06,CLI0319,PROD0171,SUC002,1,164.42,0.0,0.0,164.42,-164.42,123.23,-41.19,0.2505,26.31,190.73,App Móvil,Tarjeta Débito,Devuelta
VEN000035,20250409,2025-04-09,CLI0255,PROD0016,SUC015,1,280.34,0.1,28.03,252.31,252.31,112.81,139.5,0.5529,40.37,292.68,Presencial,Tarjeta Crédito,Completada
VEN000036,20250524,2025-05-24,CLI0538,PROD0034,SUC011,1,707.67,0.0,0.0,707.67,707.67,276.42,431.25,0.6094,113.23,820.9,Presencial,Tarjeta Crédito,Completada
VEN000037,20240530,2024-05-30,CLI0991,PROD0020,SUC014,2,877.49,0.0,0.0,877.49,1754.98,781.14,973.84,0.5549,280.8,2035.78,Presencial,Tarjeta Débito,Completada
VEN000038,20251203,2025-12-03,CLI0204,PROD0024,SUC014,2,784.07,0.1,156.81,705.66,1411.32,541.0,870.32,0.6167,225.81,1637.13,Presencial,Tarjeta Crédito,Completada
VEN000039,20241204,2024-12-04,CLI0238,PROD0137,SUC004,2,3252.66,0.0,0.0,3252.66,6505.32,1591.86,4913.46,0.7553,1040.85,7546.17,Web,Tarjeta Débito,Completada
VEN000040,20241121,2024-11-21,CLI0238,PROD0092,SUC008,2,409.89,0.0,0.0,409.89,819.78,468.76,351.02,0.4282,131.16,950.94,Web,Efectivo,Completada
VEN000041,20250125,2025-01-25,CLI0788,PROD0189,SUC001,3,620.8,0.0,0.0,620.8,1862.4,1325.46,536.94,0.2883,297.98,2160.38,Presencial,Tarjeta Débito,Completada
VEN000042,20240217,2024-02-17,CLI0510,PROD0032,SUC020,3,631.6,0.2,378.96,505.28,1515.84,956.88,558.96,0.3687,242.53,1758.37,Presencial,Efectivo,Completada
VEN000043,20240525,2024-05-25,CLI0392,PROD0071,SUC017,1,414.37,0.0,0.0,414.37,414.37,229.98,184.39,0.445,66.3,480.67,Presencial,Transferencia,Completada
VEN000044,20250808,2025-08-08,CLI0846,PROD0194,SUC019,2,1429.4,0.0,0.0,1429.4,2858.8,1978.0,880.8,0.3081,457.41,3316.21,Presencial,Tarjeta Débito,Completada
VEN000045,20240321,2024-03-21,CLI0300,PROD0146,SUC002,1,2816.84,0.05,140.84,2676.0,2676.0,1072.37,1603.63,0.5993,428.16,3104.16,Presencial,Efectivo,Completada
VEN000046,20250412,2025-04-12,CLI0398,PROD0121,SUC011,1,574.92,0.0,0.0,574.92,574.92,333.86,241.06,0.4193,91.99,666.91,Web,Tarjeta Crédito,Completada
VEN000047,20240815,2024-08-15,CLI0069,PROD0025,SUC016,2,121.13,0.05,12.11,115.07,230.14,81.52,148.62,0.6458,36.82,266.96,Presencial,Tarjeta Crédito,Completada
VEN000048,20241124,2024-11-24,CLI0110,PROD0129,SUC002,2,231.08,0.0,0.0,231.08,462.16,279.98,182.18,0.3942,73.95,536.11,Presencial,OXXO Pay,Completada
VEN000049,20240929,2024-09-29,CLI0130,PROD0051,SUC016,1,809.48,0.0,0.0,809.48,809.48,295.38,514.1,0.6351,129.52,939.0,Presencial,Tarjeta Débito,Completada
VEN000050,20241111,2024-11-11,CLI0353,PROD0080,SUC014,1,478.19,0.0,0.0,478.19,478.19,265.97,212.22,0.4438,76.51,554.7,Web,Tarjeta Débito,Completada
VEN000051,20250719,2025-07-19,CLI0524,PROD0097,SUC020,1,306.83,0.0,0.0,306.83,306.83,142.0,164.83,0.5372,49.09,355.92,Presencial,Tarjeta Crédito,Completada
VEN000052,20241006,2024-10-06,CLI0001,PROD0097,SUC003,1,306.83,0.0,0.0,306.83,306.83,142.0,164.83,0.5372,49.09,355.92,App Móvil,Tarjeta Débito,Completada
VEN000053,20250304,2025-03-04,CLI0179,PROD0121,SUC013,3,574.92,0.0,0.0,574.92,1724.76,1001.58,723.18,0.4193,275.96,2000.72,Presencial,Tarjeta Crédito,Completada
VEN000054,20241223,2024-12-23,CLI0162,PROD0110,SUC019,1,97.04,0.1,9.7,87.34,87.34,66.84,20.5,0.2347,13.97,101.31,App Móvil,Transferencia,Completada
VEN000055,20250524,2025-05-24,CLI0247,PROD0008,SUC016,1,1165.07,0.0,0.0,1165.07,1165.07,371.19,793.88,0.6814,186.41,1351.48,App Móvil,Tarjeta Crédito,Completada
VEN000056,20251210,2025-12-10,CLI0157,PROD0067,SUC008,3,539.03,0.0,0.0,539.03,1617.09,439.35,1177.74,0.7283,258.73,1875.82,Presencial,Efectivo,Completada
VEN000057,20250803,2025-08-03,CLI0182,PROD0111,SUC002,4,756.27,0.0,0.0,756.27,3025.08,1591.2,1433.88,0.474,484.01,3509.09,App Móvil,OXXO Pay,Completada
VEN000058,20240713,2024-07-13,CLI0984,PROD0043,SUC020,4,91.41,0.0,0.0,91.41,365.64,164.36,201.28,0.5505,58.5,424.14,Presencial,Efectivo,Completada
VEN000059,20240206,2024-02-06,CLI0595,PROD0046,SUC002,3,498.77,0.15,224.45,423.95,1271.85,746.67,525.18,0.4129,203.5,1475.35,Teléfono,Efectivo,Completada
VEN000060,20240831,2024-08-31,CLI0766,PROD0016,SUC020,5,280.34,0.0,0.0,280.34,1401.7,564.05,837.65,0.5976,224.27,1625.97,Web,Efectivo,Completada
VEN000061,20250404,2025-04-04,CLI0821,PROD0062,SUC008,3,616.59,0.0,0.0,616.59,1849.77,888.81,960.96,0.5195,295.96,2145.73,Presencial,Tarjeta Débito,Completada
VEN000062,20240221,2024-02-21,CLI0664,PROD0196,SUC018,5,444.08,0.1,222.04,399.67,1998.35,1487.45,510.9,0.2557,319.74,2318.09,Web,Tarjeta Crédito,Completada
VEN000063,20241230,2024-12-30,CLI0706,PROD0041,SUC012,4,559.96,0.0,0.0,559.96,2239.84,635.88,1603.96,0.7161,358.37,2598.21,Presencial,OXXO Pay,Completada
VEN000064,20250405,2025-04-05,CLI0634,PROD0081,SUC019,4,142.13,0.3,170.56,99.49,397.96,290.52,107.44,0.27,63.67,461.63,Presencial,Tarjeta Crédito,Completada
VEN000065,20241103,2024-11-03,CLI0650,PROD0123,SUC010,1,230.07,0.25,57.52,172.55,172.55,125.6,46.95,0.2721,27.61,200.16,App Móvil,Tarjeta Débito,Completada
VEN000066,20250910,2025-09-10,CLI0930,PROD0002,SUC018,1,257.01,0.0,0.0,257.01,257.01,136.99,120.02,0.467,41.12,298.13,Presencial,Efectivo,Completada
VEN000067,20240415,2024-04-15,CLI0174,PROD0171,SUC006,4,164.42,0.15,98.65,139.76,559.04,492.92,66.12,0.1183,89.45,648.49,App Móvil,Tarjeta Débito,Completada
VEN000068,20240312,2024-03-12,CLI0273,PROD0057,SUC010,1,722.57,0.0,0.0,722.57,722.57,201.89,520.68,0.7206,115.61,838.18,Presencial,Tarjeta Débito,Completada
VEN000069,20250729,2025-07-29,CLI0084,PROD0161,SUC018,3,3411.24,0.0,0.0,3411.24,10233.72,3464.1,6769.62,0.6615,1637.4,11871.12,Presencial,Tarjeta Débito,Completada
VEN000070,20241230,2024-12-30,CLI0840,PROD0005,SUC002,1,378.89,0.0,0.0,378.89,378.89,154.66,224.23,0.5918,60.62,439.51,Web,Tarjeta Crédito,Completada
VEN000071,20250612,2025-06-12,CLI0454,PROD0018,SUC015,2,175.54,0.15,52.66,149.21,298.42,131.02,167.4,0.561,47.75,346.17,App Móvil,Tarjeta Crédito,Completada
VEN000072,20241210,2024-12-10,CLI0911,PROD0048,SUC010,3,228.47,0.0,0.0,228.47,685.41,293.64,391.77,0.5716,109.67,795.08,Presencial,OXXO Pay,Completada
VEN000073,20240816,2024-08-16,CLI0420,PROD0051,SUC011,2,809.48,0.25,404.74,607.11,1214.22,590.76,623.46,0.5135,194.28,1408.5,Presencial,Efectivo,Completada
VEN000074,20251024,2025-10-24,CLI0449,PROD0156,SUC012,1,2425.74,0.0,0.0,2425.74,2425.74,824.27,1601.47,0.6602,388.12,2813.86,App Móvil,Tarjeta Débito,Completada
VEN000075,20251008,2025-10-08,CLI0454,PROD0002,SUC007,1,257.01,0.0,0.0,257.01,257.01,136.99,120.02,0.467,41.12,298.13,Presencial,Tarjeta Crédito,Completada
VEN000076,20250620,2025-06-20,CLI0610,PROD0104,SUC002,1,601.27,0.05,30.06,571.21,571.21,323.18,248.03,0.4342,91.39,662.6,Presencial,Tarjeta Débito,Completada
VEN000077,20240911,2024-09-11,CLI0768,PROD0016,SUC001,1,280.34,0.0,0.0,280.34,280.34,112.81,167.53,0.5976,44.85,325.19,Presencial,Tarjeta Crédito,Completada
VEN000078,20250329,2025-03-29,CLI0356,PROD0145,SUC010,5,2296.65,0.15,1722.49,1952.15,9760.75,3303.75,6457.0,0.6615,1561.72,11322.47,Presencial,Tarjeta Crédito,Cancelada
VEN000079,20241113,2024-11-13,CLI0630,PROD0130,SUC007,4,199.98,0.3,239.98,139.99,-559.96,500.2,-59.76,0.1067,89.59,649.55,Presencial,Tarjeta Débito,Devuelta
VEN000080,20240330,2024-03-30,CLI0192,PROD0075,SUC014,5,501.04,0.0,0.0,501.04,2505.2,1435.75,1069.45,0.4269,400.83,2906.03,Presencial,Tarjeta Crédito,Completada
VEN000081,20251204,2025-12-04,CLI0557,PROD0028,SUC015,4,558.6,0.0,0.0,558.6,-2234.4,921.48,-1312.92,0.5876,357.5,2591.9,App Móvil,Tarjeta Débito,Devuelta
VEN000082,20240509,2024-05-09,CLI0549,PROD0102,SUC011,1,395.49,0.15,59.32,336.17,336.17,205.93,130.24,0.3874,53.79,389.96,App Móvil,Tarjeta Crédito,Completada
VEN000083,20251215,2025-12-15,CLI0895,PROD0020,SUC013,1,877.49,0.0,0.0,877.49,877.49,390.57,486.92,0.5549,140.4,1017.89,Presencial,Efectivo,Completada
VEN000084,20241214,2024-12-14,CLI0901,PROD0025,SUC012,2,121.13,0.05,12.11,115.07,230.14,81.52,148.62,0.6458,36.82,266.96,Teléfono,Efectivo,Completada
VEN000085,20240608,2024-06-08,CLI0489,PROD0101,SUC001,1,292.87,0.0,0.0,292.87,292.87,175.19,117.68,0.4018,46.86,339.73,Teléfono,Tarjeta Débito,Completada
VEN000086,20250213,2025-02-13,CLI0021,PROD0197,SUC018,4,580.63,0.0,0.0,580.63,2322.52,1349.84,972.68,0.4188,371.6,2694.12,Web,Tarjeta Débito,Completada
VEN000087,20251117,2025-11-17,CLI0847,PROD0168,SUC002,1,258.68,0.15,38.8,219.88,219.88,144.34,75.54,0.3436,35.18,255.06,Presencial,Tarjeta Crédito,Completada
VEN000088,20250803,2025-08-03,CLI0001,PROD0095,SUC010,3,81.29,0.0,0.0,81.29,243.87,129.54,114.33,0.4688,39.02,282.89,Web,Efectivo,Completada
VEN000089,20251014,2025-10-14,CLI0483,PROD0083,SUC002,1,328.08,0.0,0.0,328.08,328.08,157.38,170.7,0.5203,52.49,380.57,Presencial,Tarjeta Crédito,Completada
VEN000090,20250521,2025-05-21,CLI0018,PROD0199,SUC014,2,2470.06,0.0,0.0,2470.06,4940.12,3199.72,1740.4,0.3523,790.42,5730.54,Presencial,Tarjeta Débito,Completada
VEN000091,20250617,2025-06-17,CLI0358,PROD0086,SUC008,1,591.24,0.05,29.56,561.68,561.68,269.9,291.78,0.5195,89.87,651.55,App Móvil,Tarjeta Crédito,Completada
VEN000092,20251108,2025-11-08,CLI0638,PROD0062,SUC002,3,616.59,0.15,277.47,524.1,1572.3,888.81,683.49,0.4347,251.57,1823.87,Presencial,Tarjeta Débito,Completada
VEN000093,20240819,2024-08-19,CLI0375,PROD0173,SUC002,1,1537.34,0.0,0.0,1537.34,-1537.34,1041.7,-495.64,0.3224,245.97,1783.31,Presencial,Tarjeta Débito,Devuelta
VEN000094,20241228,2024-12-28,CLI0930,PROD0032,SUC006,1,631.6,0.0,0.0,631.6,631.6,318.96,312.64,0.495,101.06,732.66,Presencial,Tarjeta Débito,Completada
VEN000095,20240721,2024-07-21,CLI0643,PROD0011,SUC014,1,745.06,0.0,0.0,745.06,745.06,311.96,433.1,0.5813,119.21,864.27,Presencial,Tarjeta Crédito,Completada
VEN000096,20251227,2025-12-27,CLI0646,PROD0102,SUC015,5,395.49,0.0,0.0,395.49,1977.45,1029.65,947.8,0.4793,316.39,2293.84,App Móvil,Transferencia,Completada
VEN000097,20251213,2025-12-13,CLI0378,PROD0011,SUC003,4,745.06,0.15,447.04,633.3,2533.2,1247.84,1285.36,0.5074,405.31,2938.51,App Móvil,Tarjeta Débito,Completada
VEN000098,20240212,2024-02-12,CLI0033,PROD0055,SUC003,1,646.82,0.0,0.0,646.82,646.82,307.69,339.13,0.5243,103.49,750.31,Presencial,Tarjeta Débito,Completada
VEN000099,20250703,2025-07-03,CLI0737,PROD0062,SUC013,1,616.59,0.1,61.66,554.93,554.93,296.27,258.66,0.4661,88.79,643.72,Presencial,Tarjeta Débito,Completada
VEN000100,20251207,2025-12-07,CLI0717,PROD0086,SUC020,1,591.24,0.0,0.0,591.24,591.24,269.9,321.34,0.5435,94.6,685.84,Presencial,Tarjeta Débito,Completada
VEN000101,20240602,2024-06-02,CLI0533,PROD0197,SUC012,5,580.63,0.0,0.0,580.63,2903.15,1687.3,1215.85,0.4188,464.5,3367.65,Presencial,Tarjeta Crédito,Completada
VEN000102,20250306,2025-03-06,CLI0424,PROD0030,SUC015,2,672.42,0.0,0.0,672.42,1344.84,710.22,634.62,0.4719,215.17,1560.01,Teléfono,Tarjeta Débito,Completada
VEN000103,20251203,2025-12-03,CLI0542,PROD0055,SUC012,5,646.82,0.05,161.71,614.48,3072.4,1538.45,1533.95,0.4993,491.58,3563.98,Web,Tarjeta Crédito,Completada
VEN000104,20240208,2024-02-08,CLI0748,PROD0016,SUC002,1,280.34,0.0,0.0,280.34,280.34,112.81,167.53,0.5976,44.85,325.19,App Móvil,Tarjeta Débito,Completada
VEN000105,20250623,2025-06-23,CLI0713,PROD0097,SUC019,1,306.83,0.25,76.71,230.12,230.12,142.0,88.12,0.3829,36.82,266.94,Presencial,Tarjeta Crédito,Cancelada
VEN000106,20241006,2024-10-06,CLI0656,PROD0121,SUC002,3,574.92,0.0,0.0,574.92,1724.76,1001.58,723.18,0.4193,275.96,2000.72,Presencial,Tarjeta Crédito,Completada
VEN000107,20251206,2025-12-06,CLI0907,PROD0070,SUC016,2,436.22,0.0,0.0,436.22,872.44,498.26,374.18,0.4289,139.59,1012.03,Teléfono,Tarjeta Débito,Completada
VEN000108,20251222,2025-12-22,CLI0609,PROD0035,SUC020,2,312.24,0.0,0.0,312.24,624.48,226.38,398.1,0.6375,99.92,724.4,Presencial,Tarjeta Débito,Completada
VEN000109,20251213,2025-12-13,CLI0012,PROD0099,SUC008,3,575.58,0.0,0.0,575.58,1726.74,1031.04,695.7,0.4029,276.28,2003.02,Presencial,Efectivo,Cancelada
VEN000110,20241223,2024-12-23,CLI0617,PROD0083,SUC004,1,328.08,0.05,16.4,311.68,311.68,157.38,154.3,0.4951,49.87,361.55,App Móvil,Tarjeta Crédito,Cancelada
VEN000111,20251113,2025-11-13,CLI0610,PROD0022,SUC012,1,984.35,0.0,0.0,984.35,984.35,391.77,592.58,0.602,157.5,1141.85,Presencial,Efectivo,Completada
VEN000112,20251107,2025-11-07,CLI0064,PROD0060,SUC017,1,407.29,0.0,0.0,407.29,407.29,140.43,266.86,0.6552,65.17,472.46,Presencial,Tarjeta Crédito,Completada
VEN000113,20241024,2024-10-24,CLI0433,PROD0063,SUC020,1,526.27,0.05,26.31,499.96,499.96,154.99,344.97,0.69,79.99,579.95,Presencial,Tarjeta Crédito,Completada
VEN000114,20251101,2025-11-01,CLI0651,PROD0194,SUC015,5,1429.4,0.0,0.0,1429.4,7147.0,4945.0,2202.0,0.3081,1143.52,8290.52,App Móvil,Tarjeta Crédito,Completada
VEN000115,20240210,2024-02-10,CLI0707,PROD0156,SUC008,3,2425.74,0.05,363.86,2304.45,6913.35,2472.81,4440.54,0.6423,1106.14,8019.49,Presencial,Tarjeta Crédito,Completada
VEN000116,20250405,2025-04-05,CLI0898,PROD0122,SUC011,4,375.71,0.0,0.0,375.71,1502.84,884.44,618.4,0.4115,240.45,1743.29,Presencial,Tarjeta Crédito,Completada
VEN000117,20240731,2024-07-31,CLI0843,PROD0167,SUC016,1,3391.39,0.3,1017.42,2373.97,2373.97,1019.11,1354.86,0.5707,379.84,2753.81,Presencial,OXXO Pay,Completada
VEN000118,20240430,2024-04-30,CLI0108,PROD0122,SUC017,5,375.71,0.2,375.71,300.57,1502.85,1105.55,397.3,0.2644,240.46,1743.31,Presencial,Efectivo,Completada
VEN000119,20240315,2024-03-15,CLI0609,PROD0172,SUC002,1,530.49,0.0,0.0,530.49,530.49,301.64,228.85,0.4314,84.88,615.37,App Móvil,Tarjeta Crédito,Cancelada
VEN000120,20250621,2025-06-21,CLI0596,PROD0007,SUC013,1,1034.38,0.25,258.6,775.79,775.79,441.78,334.01,0.4305,124.13,899.92,Presencial,Tarjeta Débito,Completada
VEN000121,20241105,2024-11-05,CLI0307,PROD0067,SUC020,1,539.03,0.0,0.0,539.03,539.03,146.45,392.58,0.7283,86.24,625.27,Presencial,Tarjeta Débito,Completada
VEN000122,20250725,2025-07-25,CLI0171,PROD0124,SUC017,1,685.96,0.15,102.89,583.07,583.07,355.12,227.95,0.3909,93.29,676.36,Presencial,OXXO Pay,Completada
VEN000123,20240302,2024-03-02,CLI0188,PROD0093,SUC001,1,351.19,0.25,87.8,263.39,263.39,181.0,82.39,0.3128,42.14,305.53,Presencial,Tarjeta Crédito,Completada
VEN000124,20241021,2024-10-21,CLI0165,PROD0023,SUC006,4,539.37,0.25,539.37,404.53,1618.12,1143.68,474.44,0.2932,258.9,1877.02,Presencial,OXXO Pay,Completada
VEN000125,20250212,2025-02-12,CLI0806,PROD0049,SUC010,1,192.3,0.25,48.08,144.23,144.23,90.65,53.58,0.3715,23.08,167.31,Presencial,Tarjeta Crédito,Completada
VEN000126,20251001,2025-10-01,CLI0142,PROD0046,SUC015,1,498.77,0.15,74.82,423.95,423.95,248.89,175.06,0.4129,67.83,491.78,Presencial,Tarjeta Crédito,Completada
VEN000127,20241024,2024-10-24,CLI0259,PROD0037,SUC012,2,829.58,0.0,0.0,829.58,1659.16,498.9,1160.26,0.6993,265.47,1924.63,Presencial,Tarjeta Crédito,Completada
VEN000128,20250503,2025-05-03,CLI0210,PROD0050,SUC002,4,327.53,0.3,393.04,229.27,917.08,608.68,308.4,0.3363,146.73,1063.81,Presencial,Transferencia,Completada
VEN000129,20251122,2025-11-22,CLI0713,PROD0078,SUC016,1,451.6,0.1,45.16,406.44,-406.44,245.99,-160.45,0.3948,65.03,471.47,App Móvil,Tarjeta Crédito,Devuelta
VEN000130,20250426,2025-04-26,CLI0150,PROD0157,SUC017,1,1472.69,0.15,220.9,1251.79,1251.79,536.06,715.73,0.5718,200.29,1452.08,Teléfono,Tarjeta Crédito,Completada
VEN000131,20240803,2024-08-03,CLI0020,PROD0123,SUC005,1,230.07,0.1,23.01,207.06,207.06,125.6,81.46,0.3934,33.13,240.19,Teléfono,Tarjeta Crédito,Completada
VEN000132,20240202,2024-02-02,CLI0378,PROD0150,SUC002,1,1841.19,0.0,0.0,1841.19,1841.19,514.43,1326.76,0.7206,294.59,2135.78,App Móvil,Tarjeta Débito,Completada
VEN000133,20251116,2025-11-16,CLI0308,PROD0165,SUC017,2,1600.01,0.0,0.0,1600.01,3200.02,657.92,2542.1,0.7944,512.0,3712.02,App Móvil,Tarjeta Crédito,Completada
VEN000134,20240129,2024-01-29,CLI0405,PROD0061,SUC014,1,743.69,0.0,0.0,743.69,743.69,262.0,481.69,0.6477,118.99,862.68,Presencial,Tarjeta Crédito,Completada
VEN000135,20251118,2025-11-18,CLI0756,PROD0051,SUC017,4,809.48,0.0,0.0,809.48,3237.92,1181.52,2056.4,0.6351,518.07,3755.99,App Móvil,Efectivo,Completada
VEN000136,20250204,2025-02-04,CLI0010,PROD0007,SUC012,2,1034.38,0.0,0.0,1034.38,2068.76,883.56,1185.2,0.5729,331.0,2399.76,Web,Tarjeta Crédito,Completada
VEN000137,20251211,2025-12-11,CLI0033,PROD0179,SUC010,5,444.92,0.0,0.0,444.92,-2224.6,1607.5,-617.1,0.2774,355.94,2580.54,Web,Tarjeta Crédito,Devuelta
VEN000138,20251007,2025-10-07,CLI0250,PROD0008,SUC020,1,1165.07,0.0,0.0,1165.07,1165.07,371.19,793.88,0.6814,186.41,1351.48,App Móvil,Efectivo,Completada
VEN000139,20251231,2025-12-31,CLI0896,PROD0123,SUC016,1,230.07,0.0,0.0,230.07,230.07,125.6,104.47,0.4541,36.81,266.88,Web,Tarjeta Crédito,Completada
VEN000140,20241109,2024-11-09,CLI0159,PROD0055,SUC010,1,646.82,0.0,0.0,646.82,646.82,307.69,339.13,0.5243,103.49,750.31,Presencial,Tarjeta Crédito,Completada
VEN000141,20250906,2025-09-06,CLI0998,PROD0186,SUC019,3,258.99,0.0,0.0,258.99,776.97,479.01,297.96,0.3835,124.32,901.29,Web,Efectivo,Completada
